GOV.UK homepage,,,,,,
,Entering and staying in the UK,280,,,,
,,Travel and identity documents for foreign nationals,64,,,
,,Immigration offences,211,,,
,,,Immigration penalties,35,,
,,,Immigration detention,103,,
,,,"Deportation, removals and curtailment",59,,
,,Immigration adviser services,150,,,
,,Rights of foreign nationals in the UK,10,,,
,,,Right to rent in the UK,8,,
,,,Foreign nationals working in the UK,62,,
,,,Rights of EU and EEA citizens,144,,
,,,Rights of nationals from outside the EU and EEA,32,,
,,Visas and immigration corporate,14,,,
,,Border control,200,,,
,,Immigration rules,247,,,
,,"Refugees, asylum and human rights",101,,,
,,,Asylum for children,21,,
,,,Asylum decisions and appeals,115,,
,,,"Refugee, asylum and human rights claims",131,,
,,,Support for asylum claimants and refugees,41,,
,,Visas and entry clearance,281,,,
,,,Visa applications,61,,
,,,Visa refusals and appeals,47,,
,,,Family visas,55,,
,,,Student visas,44,,
,,,Tuberculosis (TB) testing,123,,
,,,Visa sponsorship,106,,
,,,Visa application centres,31,,
,,,Visit and transit visas,36,,
,,,Work and investor visas,168,,
,,Permanent stay in the UK,51,,,
,,,Settlement,83,,
,,,Citizenship,142,,
,,"Inspections of border, immigration and asylum services",51,,,
,Going and being abroad,18,,,,
,,Travel abroad,463,,,
,,Passports,174,,,
,,British nationals overseas,2040,,,
,,Living abroad,559,,,
,"Education, training and skills",318,,,,
,,"Further and higher education, skills and vocational training",960,,,
,,,Education in prisons,10,,
,,,Further education funding,220,,
,,,,Administering student funding,8,
,,,,Further education funding data,54,
,,,,Further education buildings and land,13,
,,,,Free meals for 16 to 18 year olds,2,
,,,,Apprenticeships funding,35,
,,,,Dance and drama funding for 16 to 19 year olds,2,
,,,,European Social Fund (ESF) and skills funding,11,
,,,,Adult education funding,22,
,,,"Apprenticeships, traineeships and internships",221,,
,,,,Becoming an intern or trainee,17,
,,,,Becoming an apprentice,36,
,,,,Hiring and training an apprentice,76,
,,,,Hiring and training an intern or trainee,15,
,,,,Types of apprenticeships,13,
,,,Careers guidance in further and higher education,44,,
,,,Further education financial management and data collection,22,,
,,,,Local authority further education financial reporting and assurance,2,
,,,,Data collection for further education providers,36,
,,,,Financial management for further education providers,18,
,,,Adult and community learning,58,,
,,,Further and higher education courses and qualifications,198,,
,,,,Principal learning qualifications,9,
,,,,Functional skills,39,
,,,Running a further or higher education institution,73,,
,,,Learning Records Service (LRS),14,,
,,,T levels,30,,
,,"Pupil wellbeing, behaviour and attendance",93,,,
,,,Safeguarding pupils,42,,
,,,Alternative provision and pupil referral units,27,,
,,,School bullying,30,,
,,,"Health, safety and wellbeing in schools",64,,
,,,School attendance and absence,88,,
,,,School discipline and exclusions,50,,
,,Teaching and leadership,197,,,
,,,Teacher records,3,,
,,,"Teacher pay, pensions and conditions",143,,
,,,"Recruiting, inducting and managing teachers",98,,
,,,Teacher training and professional development,139,,
,,,,Qualified Teacher Status (QTS),19,
,,,,Initial Teacher Training (ITT),138,
,,,,School leadership,78,
,,,"Teaching standards, misconduct and practice",884,,
,,Inspections and performance of education providers,118,,,
,,,Inspection and performance of further education providers,127,,
,,,,Inspection of residential provision in further education colleges,4,
,,,,Further education intervention notices and reports,38,
,,,,Further education provider performance measures,34,
,,,,Student performance in further education,14,
,,,,Inspection of further education and skills providers,74,
,,,,Performance data and Ofsted reports of further education providers,37,
,,,Inspection and performance of schools,269,,
,,,,School intervention notices and reports,157,
,,,,Inspection of independent schools,311,
,,,,School performance measures,57,
,,,,Inspection of British schools overseas,7,
,,,,Inspection of maintained schools and academies,169,
,,,,Inspection of boarding and residential schools,18,
,,,,School performance tables and Ofsted reports,143,
,,,,Inspection of local authority support for schools,40,
,,,,Pupil performance in schools,93,
,,,,Inspection of non-maintained schools,8,
,,Education of disadvantaged children,234,,,
,,Starting and attending school,7,,,
,,,Home schooling,8,,
,,,Sending a child to school,14,,
,,,Help with school costs,9,,
,,,Dealing with problems at school,12,,
,,Running and managing a school,908,,,
,,,School-to-school support,47,,
,,,Recruiting and managing non-teaching school staff,33,,
,,,Careers guidance in schools,32,,
,,,School admissions,363,,
,,,School trips and extracurricular activity,36,,
,,,School complaints and whistleblowing,12,,
,,,Setting up or changing the status of a school,62,,
,,,,Set up and develop a multi-academy trust (MAT),15,
,,,,Set up a free school,131,
,,,,Set up or convert to an academy,77,
,,,"School food, accommodation, transport and uniform",33,,
,,,School planning,23,,
,,,School governance,69,,
,,,School buildings and land,37,,
,,,,School buildings and land guidelines,39,
,,,,School buildings and land transactions,14,
,,,,School places,36,
,,,Data collection and censuses for schools,43,,
,,,,General hospital school censuses,2,
,,,,School exclusion reviews,4,
,,,,Special educational needs surveys,6,
,,,,Alternative provision censuses,14,
,,,,Parental responsibility measures attendance censuses,5,
,,,,School capacity surveys,14,
,,,,Key stage 1 and 2 assessments data collection,13,
,,,,Phonics screening checks,19,
,,,,School preference and admission appeals data collection,17,
,,,,School censuses and school-level annual school censuses (SLASC),58,
,,,,School workforce censuses,20,
,,School and academy financial management and assurance,155,,,
,,,Local authority schools financial reporting and assurance,29,,
,,,Academy and academy trust finance and reporting,114,,
,,,School procurement,27,,
,,,"Financial management, reporting and assurances for 16 to 19 year olds funding",7,,
,,Funding and finance for students,89,,,
,,,Financial help for students who are parents or carers,6,,
,,,"Student grants, bursaries and scholarships",67,,
,,,Student loans,112,,
,,School curriculum,294,,,
,,,Key stage 5 (AS and A Levels),53,,
,,,,"Key stage 5 exam marking, qualifications and results",264,
,,,,AS and A level changes and reforms,152,
,,,,AS and A level subject content and requirements,164,
,,,"Personal, social, health and economic education",37,,
,,,"Secondary curriculum, key stage 3 and key stage 4 (GCSEs)",117,,
,,,,GCSE subject content and requirements,196,
,,,,"Key stage 3 and 4 exam marking, qualifications and results",363,
,,,,GCSE changes and reforms,247,
,,,Early years curriculum,35,,
,,,"Spiritual, moral, social and cultural development",76,,
,,,"Primary curriculum, key stage 2",49,,
,,,,Tests and assessments (key stage 2),237,
,,,,English (key stage 2),14,
,,,,Science (key stage 2),11,
,,,,Maths (key stage 2),21,
,,,,Programmes of study (key stage 2),12,
,,,"Primary curriculum, key stage 1",49,,
,,,,Tests and assessments (key stage 1),169,
,,,,Phonics,93,
,,,,Maths (key stage 1),11,
,,,,Science (key stage 1),6,
,,,,Programmes of study (key stage 1),12,
,,,Exam regulation and administration,365,,
,,Special educational needs and disability (SEND) and high needs,171,,,
,,,Support for special educational needs and disability (SEND) ,69,,
,,,Funding for high needs,25,,
,,,Funding for special educational needs and disability (SEND),44,,
,,School and academy funding,275,,,
,,,Schools forums,4,,
,,,Pupil premium and other school premiums ,80,,
,,,Funding for school buildings and land,79,,
,,,Free school meals (FSM) funding ,34,,
,,,Funding for different types of schools and settings,51,,
,,,,Academy funding,67,
,,,,Early years funding,36,
,,,,Funding for 16 to 19 year olds in schools,36,
,,,,Local authority schools funding,65,
,,,,Alternative provision funding,8,
,,,,Special schools funding,6,
,,,Funding for school places,19,,
,,,Initial Teacher Training funding,19,,
,,,,School Direct funding,5,
,,,,Subject Knowledge Enhancement (SKE) funding,6,
,"Parenting, childcare and children's services ",47,,,,
,,"Divorce, separation and legal issues",23,,,
,,,Child custody,11,,
,,,Disagreements about parentage,4,,
,,,Child maintenance,34,,
,,Childcare and early years,152,,,
,,,Local authorities and early years,15,,
,,,Finding childcare,15,,
,,,Providing childcare,12,,
,,,,Funding and finance for childcare providers,21,
,,,,"Children's centres, childminders, pre-schools and nurseries",31,
,,,,Performance and inspection of childcare providers,69,
,,,,Recruiting and managing early years staff,13,
,,,,Becoming a childcare provider,39,
,,,,Early years curriculum (0 to 5),19,
,,,Data collection for early years and childcare,6,,
,,,,Early years census,22,
,,,,Early years foundation stage profile return,15,
,,Financial help if you have children,7,,,
,,,Financial help if you have a disabled child,3,,
,,,Child benefit,22,,
,,,Financial help when having a baby,8,,
,,,Tax credits if you have children,20,,
,,,Savings accounts for children,5,,
,,,Financial help if you're a student with children,3,,
,,,Financial support for childcare,15,,
,,"Adoption, fostering and surrogacy",73,,,
,,,Adoption,32,,
,,,Intercountry adoption,3,,
,,,Fostering,38,,
,,,Special guardianship,3,,
,,,Surrogacy,1,,
,,Children's health and welfare,59,,,
,,,Children's health,423,,
,,,Support for children with special educational needs and disabilities (SEND),35,,
,,,Children's rights,8,,
,,,Mental health of children and young people,20,,
,,,Help for children with a long-term illness or disability,10,,
,,,Child poverty,9,,
,,Youth employment and social issues,64,,,
,,Pregnancy and birth,77,,,
,,,Register the birth of a child,6,,
,,,Working and time off when you're having a baby,12,,
,,Safeguarding and social care for children,352,,,
,,,Child and family social work,72,,
,,,Safeguarding and child protection,194,,
,,,,Data collection for safeguarding and child protection,25,
,,,,Child abduction and cross-border child protection,10,
,,,,Serious case reviews,5,
,,,,"Refugee, runaway and homeless children",9,
,,,,"Preventing neglect, abuse and exploitation",56,
,,,Looked-after children and children in care,86,,
,,,,"Health, wellbeing and education of looked-after children",18,
,,,,Data collection for looked-after children,33,
