parent,node,test_attribute
GOV.UK homepage,Entering and staying in the UK,1.2422807040271693
GOV.UK homepage,Going and being abroad,1.5879539253685788
GOV.UK homepage,"Education, training and skills",0.06742291008533942
GOV.UK homepage,"Parenting, childcare and children's services",0.030265646471240016
GOV.UK homepage,Corporate information,2.3450235289385555
GOV.UK homepage,Transport,1.1036415898804908
GOV.UK homepage,Environment,0.18317713647184836
GOV.UK homepage,Welfare,0.2385363454433258
GOV.UK homepage,"Housing, local and community",0.7740600778697442
GOV.UK homepage,Life circumstances,2.5972584292851355
GOV.UK homepage,International,0.27094011158947284
GOV.UK homepage,Defence and armed forces,2.232015463400708
GOV.UK homepage,"Crime, justice and law",0.7309980021061842
GOV.UK homepage,Regional and local government,2.154860200375157
GOV.UK homepage,Society and culture,0.44693163011022835
GOV.UK homepage,Government,0.8360402865813003
GOV.UK homepage,Work,0.09726504896191125
GOV.UK homepage,Money,2.1500142398982587
GOV.UK homepage,Business and industry,0.8159396467738154
GOV.UK homepage,Health and social care,1.3640393790982748
Entering and staying in the UK,Travel and identity documents for foreign nationals,0.004523668290304906
Entering and staying in the UK,Immigration offences,0.19013321103810857
Entering and staying in the UK,Immigration adviser services,1.2277338694452027
Entering and staying in the UK,Rights of foreign nationals in the UK,0.7675943682331189
Entering and staying in the UK,Visas and immigration corporate,1.6307861777284867
Entering and staying in the UK,Border control,1.1046878991913822
Entering and staying in the UK,Immigration rules,0.5154817134407468
Entering and staying in the UK,"Refugees, asylum and human rights",1.1831956538830015
Entering and staying in the UK,Visas and entry clearance,0.6385744778039298
Entering and staying in the UK,Permanent stay in the UK,1.1153005051966005
Entering and staying in the UK,"Inspections of border, immigration and asylum services",0.5371841136575655
Going and being abroad,Travel abroad,1.3975695894453095
Going and being abroad,Passports,0.5281195637972023
Going and being abroad,British nationals overseas,1.2260027150222048
Going and being abroad,Living abroad,1.463304890898993
"Education, training and skills","Further and higher education, skills and vocational training",0.5348533076748805
"Education, training and skills","Pupil wellbeing, behaviour and attendance",1.1181732734171799
"Education, training and skills",Teaching and leadership,0.7218693364068111
"Education, training and skills",Inspections and performance of education providers,0.1367565582819082
"Education, training and skills",Education of disadvantaged children,1.5067851066666247
"Education, training and skills",Starting and attending school,0.2726816593623523
"Education, training and skills",Running and managing a school,1.1065721378925313
"Education, training and skills",School and academy financial management and assurance,0.1503179540915683
"Education, training and skills",Funding and finance for students,0.8694575836302172
"Education, training and skills",School curriculum,0.021856454327735923
"Education, training and skills",Special educational needs and disability (SEND) and high needs,0.5825865885208581
"Education, training and skills",School and academy funding,1.3435849193126828
"Parenting, childcare and children's services","Divorce, separation and legal issues",0.5704068671942494
"Parenting, childcare and children's services",Childcare and early years,0.27602777430368375
"Parenting, childcare and children's services",Financial help if you have children,0.2412177012277633
"Parenting, childcare and children's services","Adoption, fostering and surrogacy",1.6460034964941928
"Parenting, childcare and children's services",Children's health and welfare,0.15970861966608216
"Parenting, childcare and children's services",Youth employment and social issues,0.8201964776707644
"Parenting, childcare and children's services",Pregnancy and birth,0.9780553102675108
"Parenting, childcare and children's services",Safeguarding and social care for children,0.767501999637056
Transport,Transport modelling and appraisal,1.1755643980521964
Transport,Transport accessibility and mobility,0.1395365396194816
Transport,Rail,0.23727298384519263
Transport,Transport planning,0.03629406172321722
Transport,Transport security,0.22105275416967676
Transport,Corporate and operational information (transport),0.3150740113938972
Transport,Driving and road transport,0.1865958895449091
Transport,Freight and cargo,0.5785682279515558
Transport,Road infrastructure,1.5941015946799844
Transport,Careers in transport,0.007812459619734783
Transport,Maritime and shipping,1.1180168868771079
Transport,Aviation,0.5174214552486764
Transport,Local transport,3.0400477419743814
Environment,Environmental permits,0.376965653111475
Environment,Water industry,0.5226820459004665
Environment,Climate change and energy,0.526584273244981
Environment,Rural and countryside,1.520980359491507
Environment,Pollution and environmental quality,0.8599558845288743
Environment,"River maintenance, flooding and coastal erosion",0.8882284853102075
Environment,"Wildlife, animals, biodiversity and ecosystems",0.6315226457331126
Environment,"Commercial fishing, fisheries and vessels",0.2516937222554586
Environment,"Oil, gas and coal",1.1777206982998152
Environment,Waste and recycling,1.2775655893115667
Environment,Food and farming,0.9263304299861181
Environment,Marine,1.894278346843237
Environment,Chemicals,0.4049857543631901
Welfare,Child Benefit,1.1014456338451648
Welfare,Carers and disability benefits,0.9004799620610433
Welfare,Child maintenance reform,1.579167391908046
Welfare,Death and benefits,0.7754282392484771
Welfare,Benefits for families,1.2150500537529378
Welfare,Heating and housing benefits,0.9403092279104084
Welfare,Tax credits,1.7173972133883342
Welfare,Benefits entitlement,1.5522638117791718
Welfare,Jobseeker's Allowance and low income benefits,0.7064485347109651
Welfare,Universal Credit,1.073943123067854
Welfare,Welfare reform,1.180831627629573
"Housing, local and community",Land registration,1.3208557096883045
"Housing, local and community",Housing,0.9935289321250834
"Housing, local and community",Planning and building,0.6284588202890337
"Housing, local and community",Household energy,0.5546429150654648
Life circumstances,"Having a child, parenting and adoption",0.514733296199793
Life circumstances,"Certificates, register offices, changes of name or gender",1.0749470088127981
Life circumstances,"Lasting power of attorney, being in care and your financial affairs",0.6687926687336153
Life circumstances,"Marriage, civil partnership and divorce",0.8154259941751364
Life circumstances,Death and bereavement,0.028145051023925366
International,Foreign affairs,0.8086312422612589
International,International aid and development,0.31167179916755
International,Human rights internationally,0.3029589963950478
International,"UK prosperity and security: Asia, Latin America and Africa",0.49207166377532685
International,Anti-corruption,1.3476099074690573
International,The Commonwealth,2.282745447831053
International,Sexual violence in conflict,0.06144870058926028
Defence and armed forces,UK nuclear deterrent,0.05850462988071902
Defence and armed forces,Weapons proliferation,0.25413989045496127
Defence and armed forces,Armed forces support for activities in the UK,0.8803765244503057
Defence and armed forces,Armed forces,0.4932998798476556
